question_key,role_key,role_label,step_number,step_name,question_number,question_text,scale_type,option_1,option_2,option_3,option_4,option_5,required,version
owner_14,owner,"센터장·원장",5,"도입 의향",14,"도입 여부는 재등록 상담과 운영 효율 개선 가능성에 영향을 받습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
owner_15,owner,"센터장·원장",5,"도입 의향",15,"초기 사용 경험에 대한 후속 인터뷰에 참여할 의향이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_01,coach,"트레이너",1,"기록 경험",1,"세션 후 기록을 정리하는 데 예상보다 많은 시간이 필요합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_02,coach,"트레이너",1,"기록 경험",2,"회원 상담 전에 이전 기록을 한 번에 확인하기 어렵습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_03,coach,"트레이너",1,"기록 경험",3,"회원별 목표와 컨디션 변화를 지속적으로 기록할 필요가 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_04,coach,"트레이너",2,"상담 흐름",4,"운동 변화와 다음 계획을 회원에게 시각적으로 설명하면 상담에 도움이 됩니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_05,coach,"트레이너",2,"상담 흐름",5,"세션 기록을 바탕으로 상담 내용을 빠르게 요약할 수 있으면 좋겠습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_06,coach,"트레이너",2,"상담 흐름",6,"회원별 주의사항과 생활 습관 메모를 함께 확인할 필요가 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_07,coach,"트레이너",3,"리포트 구성",7,"리포트에 목표·운동 기록·다음 계획이 함께 정리되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_08,coach,"트레이너",3,"리포트 구성",8,"회원이 이해하기 쉬운 표현으로 리포트가 작성되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_09,coach,"트레이너",3,"리포트 구성",9,"리포트 초안은 자동으로 생성되더라도 트레이너가 수정할 수 있어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_10,coach,"트레이너",4,"사용 조건",10,"휴대폰이나 태블릿에서도 빠르게 입력할 수 있어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_11,coach,"트레이너",4,"사용 조건",11,"기록 입력 단계가 복잡하면 현장에서 지속 사용하기 어렵습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_12,coach,"트레이너",4,"사용 조건",12,"회원 정보는 담당자 권한에 따라 안전하게 관리되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_13,coach,"트레이너",5,"참여 의향",13,"상담 리포트 작성 시간을 줄여준다면 시험 사용을 검토할 의향이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_14,coach,"트레이너",5,"참여 의향",14,"실제 회원 상담에 사용할 수 있는 수준의 결과물이 필요합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
coach_15,coach,"트레이너",5,"참여 의향",15,"초기 사용 경험에 대한 후속 인터뷰에 참여할 의향이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_01,member,"회원",1,"상담 경험",1,"운동을 하면서 어떤 변화가 있었는지 정리해서 보고 싶습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_02,member,"회원",1,"상담 경험",2,"다음 운동 계획과 생활 습관 조언을 다시 확인할 수 있으면 좋겠습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_03,member,"회원",1,"상담 경험",3,"트레이너와 나눈 상담 내용이 기록으로 남아 있으면 도움이 됩니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_04,member,"회원",2,"변화 확인",4,"운동 목표 대비 현재 진행 상황을 알고 싶습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_05,member,"회원",2,"변화 확인",5,"운동 수행과 생활 습관의 변화를 함께 확인하고 싶습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_06,member,"회원",2,"변화 확인",6,"트레이너의 다음 운동 제안을 한눈에 보고 싶습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_07,member,"회원",3,"리포트 이해도",7,"리포트는 어려운 용어보다 이해하기 쉬운 설명을 사용해야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_08,member,"회원",3,"리포트 이해도",8,"리포트는 핵심 내용이 짧고 명확하게 정리되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_09,member,"회원",3,"리포트 이해도",9,"운동 기록을 시각적으로 확인할 수 있으면 상담에 도움이 됩니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_10,member,"회원",4,"신뢰와 선택권",10,"내 운동 기록과 연락 정보가 안전하게 관리되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_11,member,"회원",4,"신뢰와 선택권",11,"내가 원하지 않는 민감한 정보는 입력하지 않을 수 있어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_12,member,"회원",4,"신뢰와 선택권",12,"리포트 내용은 트레이너가 최종 확인한 뒤 제공되어야 합니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_13,member,"회원",5,"이용 의향",13,"운동 변화 리포트를 제공받을 수 있다면 이용해 보고 싶습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_14,member,"회원",5,"이용 의향",14,"운동 상담 내용을 다시 확인할 수 있다면 만족도가 높아질 수 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07
member_15,member,"회원",5,"이용 의향",15,"초기 사용 경험에 대한 후속 인터뷰에 참여할 의향이 있습니다.",agreement_5,"전혀 그렇지 않음","그렇지 않음","보통","그렇다","매우 그렇다",TRUE,2026-07

